user_id,cocktail_name,user_rating
9661198451,Godfather,4
9574596968,Manhattan,4
2274678484,Bloody Mary,5
9130236407,Margarita,5
9574596968,Sidecar,1
9574596968,Godfather,1
7038732734,Martini,5
6711786895,Screwdriver,4
3624867915,Negroni,1
7750609185,Moscow Mule,1
9574596968,Chi-Chi,2
9574596968,Negroni,5
9424998611,Vodka & Tonic,2
9658436172,Singapore Sling,5
8377205875,Bloody Mary,1
2274678484,Havana Beach,5
8377205875,Havana Beach,4
9574596968,Margarita,5
3549260863,Long Island Ice Tea,5
1157027484,Tequila Martini,1
8377205875,Screwdriver,4
9993696473,Martini,4
2221686036,Negroni,5
3549260863,Old Fashioned,2
4114091878,Old Fashioned,1
8377205875,Bloody Mary,4
7038732734,Moscow Mule,1
9993696473,Sex on the Beach,5
946934985,Moscow Mule,2
1647278698,Negroni,4
5090515459,Moscow Mule,1
2274678484,Martini,4
2221686036,Old Fashioned,5
1628602086,Godfather,5
4114091878,Screwdriver,5
892691653,Chi-Chi,4
7361786092,Bloody Mary,2
9130236407,Mai-Tai,5
7926670874,Long Island Ice Tea,1
1628602086,Margarita,5
3867892702,Long Island Ice Tea,3
6568803961,Gin & Tonic,5
4114091878,Moscow Mule,5
892691653,Mai-Tai,1
9658436172,Mai-Tai,1
1232327332,Singapore Sling,5
3549260863,Mojito,5
6711786895,Tequila Martini,4
946934985,Singapore Sling,2
3549260863,Tom Collins,5
892691653,Blue Hawaii,2
7926670874,Moscow Mule,4
9130236407,Old Fashioned,1
6220477471,Moscow Mule,1
5503905725,Old Fashioned,2
1510968452,Old Fashioned,3
1510968452,Mai-Tai,5
946934985,Long Island Ice Tea,5
9574596968,Martini,5
7150372665,Bloody Mary,4
9574596968,Blue Hawaii,1
3549260863,Moscow Mule,5
9993696473,Gin & Tonic,3
892691653,Negroni,1
1628602086,Margarita,5
7750609185,Bloody Mary,4
3549260863,Bloody Mary,1
4860324922,Negroni,5
9424998611,Moscow Mule,5
1628602086,Bloody Mary,1
9993696473,Bloody Mary,1
5090515459,Bloody Mary,5
3196826377,Vodka & Tonic,4
946934985,Mai-Tai,3
7038732734,Mojito,4
7750609185,Gin & Tonic,3
1510968452,Long Island Ice Tea,1
892691653,Screwdriver,2
1628602086,Sex on the Beach,4
1628602086,Sidecar,5
9693205089,Negroni,4
1770996789,Godfather,1
8377205875,Moscow Mule,1
6460123892,Tequila Martini,1
6711786895,Havana Beach,4
1647278698,Blue Hawaii,2
792580598,Chi-Chi,4
3549260863,Black Russian,5
7361786092,Mojito,3
9693205089,Bloody Mary,4
1628602086,Godfather,3
892691653,Long Island Ice Tea,5
2221686036,Gin & Tonic,4
