user_id,0,1,2
1,Gin Fizz,Havana Beach,Black Russian
2,Gin Fizz,Havana Beach,Black Russian
3,Gin Fizz,Havana Beach,Black Russian
4,Gin Fizz,Havana Beach,Black Russian
5,Gin Fizz,Havana Beach,Black Russian
6,Gin Fizz,Havana Beach,Black Russian
7,Gin Fizz,Havana Beach,Black Russian
8,Gin Fizz,Havana Beach,Black Russian
9,Gin Fizz,Havana Beach,Black Russian
10,Gin Fizz,Havana Beach,Black Russian
11,Gin Fizz,Havana Beach,Black Russian
12,Gin Fizz,Havana Beach,Black Russian
13,Gin Fizz,Havana Beach,Black Russian
14,Gin Fizz,Havana Beach,Black Russian
15,Gin Fizz,Havana Beach,Black Russian
16,Gin Fizz,Havana Beach,Black Russian
17,Gin Fizz,Havana Beach,Black Russian
18,Gin Fizz,Havana Beach,Black Russian
19,Gin Fizz,Havana Beach,Black Russian
20,Gin Fizz,Havana Beach,Black Russian
21,Gin Fizz,Havana Beach,Black Russian
22,Gin Fizz,Havana Beach,Black Russian
23,Gin Fizz,Havana Beach,Black Russian
24,Gin Fizz,Havana Beach,Black Russian
25,Gin Fizz,Havana Beach,Black Russian
26,Gin Fizz,Havana Beach,Black Russian
27,Gin Fizz,Havana Beach,Black Russian
28,Gin Fizz,Havana Beach,Black Russian
29,Gin Fizz,Havana Beach,Black Russian
30,Gin Fizz,Havana Beach,Black Russian
31,Gin Fizz,Havana Beach,Black Russian
32,Gin Fizz,Havana Beach,Black Russian
33,Gin Fizz,Havana Beach,Black Russian
34,Gin Fizz,Havana Beach,Black Russian
35,Gin Fizz,Havana Beach,Black Russian
36,Gin Fizz,Havana Beach,Black Russian
37,Gin Fizz,Havana Beach,Black Russian
38,Gin Fizz,Havana Beach,Black Russian
39,Gin Fizz,Havana Beach,Black Russian
40,Gin Fizz,Havana Beach,Black Russian
41,Gin Fizz,Havana Beach,Black Russian
42,Gin Fizz,Havana Beach,Black Russian
43,Gin Fizz,Havana Beach,Black Russian
44,Gin Fizz,Havana Beach,Black Russian
45,Gin Fizz,Havana Beach,Black Russian
46,Gin Fizz,Havana Beach,Black Russian
47,Gin Fizz,Havana Beach,Black Russian
48,Gin Fizz,Havana Beach,Black Russian
49,Gin Fizz,Havana Beach,Black Russian
50,Gin Fizz,Havana Beach,Black Russian
51,Gin Fizz,Havana Beach,Black Russian
52,Gin Fizz,Havana Beach,Black Russian
53,Gin Fizz,Havana Beach,Black Russian
54,Gin Fizz,Havana Beach,Black Russian
55,Gin Fizz,Havana Beach,Black Russian
56,Gin Fizz,Havana Beach,Black Russian
57,Gin Fizz,Havana Beach,Black Russian
58,Gin Fizz,Havana Beach,Black Russian
59,Gin Fizz,Havana Beach,Black Russian
60,Gin Fizz,Havana Beach,Black Russian
61,Gin Fizz,Havana Beach,Black Russian
62,Gin Fizz,Havana Beach,Black Russian
63,Gin Fizz,Havana Beach,Black Russian
64,Gin Fizz,Havana Beach,Black Russian
65,Gin Fizz,Havana Beach,Black Russian
66,Gin Fizz,Havana Beach,Black Russian
67,Gin Fizz,Havana Beach,Black Russian
68,Gin Fizz,Havana Beach,Black Russian
69,Gin Fizz,Havana Beach,Black Russian
70,Gin Fizz,Havana Beach,Black Russian
71,Gin Fizz,Havana Beach,Black Russian
72,Gin Fizz,Havana Beach,Black Russian
73,Gin Fizz,Havana Beach,Black Russian
74,Gin Fizz,Havana Beach,Black Russian
75,Gin Fizz,Havana Beach,Black Russian
76,Gin Fizz,Havana Beach,Black Russian
77,Gin Fizz,Havana Beach,Black Russian
78,Gin Fizz,Havana Beach,Black Russian
79,Gin Fizz,Havana Beach,Black Russian
80,Gin Fizz,Havana Beach,Black Russian
81,Gin Fizz,Havana Beach,Black Russian
82,Gin Fizz,Havana Beach,Black Russian
83,Gin Fizz,Havana Beach,Black Russian
84,Gin Fizz,Havana Beach,Black Russian
85,Gin Fizz,Havana Beach,Black Russian
86,Gin Fizz,Havana Beach,Black Russian
87,Gin Fizz,Havana Beach,Black Russian
88,Gin Fizz,Havana Beach,Black Russian
89,Gin Fizz,Havana Beach,Black Russian
90,Gin Fizz,Havana Beach,Black Russian
91,Gin Fizz,Havana Beach,Black Russian
92,Gin Fizz,Havana Beach,Black Russian
93,Gin Fizz,Havana Beach,Black Russian
94,Gin Fizz,Havana Beach,Black Russian
95,Gin Fizz,Havana Beach,Black Russian
96,Gin Fizz,Havana Beach,Black Russian
97,Gin Fizz,Havana Beach,Black Russian
98,Gin Fizz,Havana Beach,Black Russian
99,Gin Fizz,Havana Beach,Black Russian
100,Gin Fizz,Havana Beach,Black Russian
101,Gin Fizz,Havana Beach,Black Russian
102,Gin Fizz,Havana Beach,Black Russian
103,Gin Fizz,Havana Beach,Black Russian
104,Gin Fizz,Havana Beach,Black Russian
105,Gin Fizz,Havana Beach,Black Russian
106,Gin Fizz,Havana Beach,Black Russian
107,Gin Fizz,Havana Beach,Black Russian
108,Gin Fizz,Havana Beach,Black Russian
109,Gin Fizz,Havana Beach,Black Russian
110,Gin Fizz,Havana Beach,Black Russian
111,Gin Fizz,Havana Beach,Black Russian
112,Gin Fizz,Havana Beach,Black Russian
113,Gin Fizz,Havana Beach,Black Russian
114,Gin Fizz,Havana Beach,Black Russian
115,Gin Fizz,Havana Beach,Black Russian
116,Gin Fizz,Havana Beach,Black Russian
117,Gin Fizz,Havana Beach,Black Russian
118,Gin Fizz,Havana Beach,Black Russian
119,Gin Fizz,Havana Beach,Black Russian
120,Gin Fizz,Havana Beach,Black Russian
121,Gin Fizz,Havana Beach,Black Russian
122,Gin Fizz,Havana Beach,Black Russian
123,Gin Fizz,Havana Beach,Black Russian
124,Gin Fizz,Havana Beach,Black Russian
125,Gin Fizz,Havana Beach,Black Russian
126,Gin Fizz,Havana Beach,Black Russian
127,Gin Fizz,Havana Beach,Black Russian
128,Gin Fizz,Havana Beach,Black Russian
129,Gin Fizz,Havana Beach,Black Russian
